INFO,Arduino connected successfully
INFO,Test started
INFO,Port:,COM5
INFO,Baud rate:,9600
INFO,Limits,"{'A0': {'min': 300, 'max': 700}, 'A1': {'min': 200, 'max': 600}}"
INFO,Log file,D:\Python_Automation_CAN_Portfolio\03_arduino_serial_automation\logs\serial_log_2026-06-11_10-05-08.csv

counter,timestamp,signal,value,result
1,2026-06-11 10:05:08.785,A0,157.0,FAIL
2,2026-06-11 10:05:08.793,A1,210.0,PASS
3,2026-06-11 10:05:08.802,STATUS,OK,PASS
4,2026-06-11 10:05:09.784,A0,133.0,FAIL
5,2026-06-11 10:05:09.792,A1,191.0,FAIL
6,2026-06-11 10:05:09.804,STATUS,OK,PASS
7,2026-06-11 10:05:10.784,A0,117.0,FAIL
8,2026-06-11 10:05:10.792,A1,180.0,FAIL
9,2026-06-11 10:05:10.804,STATUS,OK,PASS
10,2026-06-11 10:05:11.787,A0,95.0,FAIL
11,2026-06-11 10:05:11.795,A1,167.0,FAIL
12,2026-06-11 10:05:11.804,STATUS,OK,PASS
13,2026-06-11 10:05:12.787,A0,96.0,FAIL
14,2026-06-11 10:05:12.795,A1,166.0,FAIL
15,2026-06-11 10:05:12.807,STATUS,OK,PASS
16,2026-06-11 10:05:13.787,A0,98.0,FAIL
17,2026-06-11 10:05:13.795,A1,168.0,FAIL
18,2026-06-11 10:05:13.807,STATUS,OK,PASS
19,2026-06-11 10:05:14.790,A0,101.0,FAIL
20,2026-06-11 10:05:14.798,A1,170.0,FAIL
21,2026-06-11 10:05:14.810,STATUS,OK,PASS
22,2026-06-11 10:05:15.790,A0,102.0,FAIL
23,2026-06-11 10:05:15.798,A1,171.0,FAIL
24,2026-06-11 10:05:15.810,STATUS,OK,PASS
25,2026-06-11 10:05:16.793,A0,101.0,FAIL
26,2026-06-11 10:05:16.801,A1,170.0,FAIL
27,2026-06-11 10:05:16.813,STATUS,OK,PASS
28,2026-06-11 10:05:17.793,A0,104.0,FAIL
29,2026-06-11 10:05:17.801,A1,172.0,FAIL
30,2026-06-11 10:05:17.813,STATUS,OK,PASS
31,2026-06-11 10:05:18.792,A0,109.0,FAIL

SUMMARY
Total records,31
PASS,11
FAIL,20
UNKNOWN,0
INFO,Arduino connected closed
